path,index0,index1,index2,index3,index4,index5,index6,index7,index8
test00None (30).jpg.Extracted.png,[ 0.03459266 -0.03771247 -0.19665786],[0.05893515 0.05019171 0.10418959],[-0.09352781 -0.01329107  0.09903772],[0.02046849 0.1939171  0.06986014],[-0.18115147  0.10784018  0.05202351],[-0.05703563  0.27404617 -0.13080197],[-0.19718943  0.20523622 -0.13080197],[-0.0538948   0.22025758  0.59158164],[-0.14878728  0.18033719  0.59158164]
test00None (31).jpg.Extracted.png,[ 0.0429815  -0.06970409 -0.29080743],[0.0820995  0.11139776 0.18279324],[-0.12508101 -0.04443261  0.11761761],[0.03163807 0.35300411 0.06927733],[-0.34801872  0.11830719 -0.17319332],[-0.09433896  0.3420746  -0.3562834 ],[-0.20651028  0.11600624 -0.61359918],[-0.18522649  0.3926955   0.7373087 ],[-0.31350446  0.28282513  0.66803137]
test00None (32).jpg.Extracted.png,[ 0.01422063 -0.08041234 -0.15785426],[ 0.02806592  0.09053889 -0.14152451],[-0.04228655 -0.01039487  0.30874203],[-0.00842209  0.33404964 -0.23206873],[-0.20334124  0.05809399  0.32184714],[-0.18184647  0.29202832 -0.19649615],[-0.24836869  0.10749232 -0.02879685],[-0.20014146  0.31037864  0.2303748 ],[-0.23550503  0.22586573  0.62675496]
test00None (33).jpg.Extracted.png,[ 0.04054561 -0.05867038 -0.17413957],[0.03620176 0.07916859 0.08194803],[-0.07674737 -0.02198283  0.09984069],[0.00405316 0.22430106 0.03367287],[-0.13007407 -0.08542715 -0.1346915 ],[-0.07529261  0.29374456 -0.11785506],[-0.10855208 -0.10664491 -0.30866801],[-0.10035744  0.29504     0.09540648],[-0.18488497  0.2642242   0.03367287]
test00None (34).jpg.Extracted.png,[ 0.05207838 -0.04236357 -0.21600133],[0.03929028 0.07574674 0.1299669 ],[-0.09136865 -0.03536252  0.09319898],[-0.03131392  0.22510214  0.18454653],[-0.22150325  0.07435586  0.11611916],[-0.12213604  0.24650556  0.01036778],[-0.30361752  0.14355755 -0.0331769 ],[-0.16437321  0.26796324  0.44581465],[-0.25430013  0.20095886  0.42093197]
test00None (35).jpg.Extracted.png,[ 0.02833589 -0.02612969 -0.1914914 ],[0.05439664 0.05991214 0.0957457 ],[-0.08273253 -0.03506859  0.1009386 ],[0.00994206 0.18290228 0.10957965],[-0.18203432  0.05886329  0.10115045],[-0.06462337  0.23687344 -0.03793142],[-0.17445942  0.17201336 -0.05478983],[-0.05681175  0.15189253  0.76284296],[-0.13753178  0.1045494   0.76284296]
test00None (36).jpg.Extracted.png,[ 0.05165399 -0.10676346 -0.24297257],[0.05376942 0.10279465 0.00867759],[-0.10542341  0.00427252  0.25177004],[-0.00538846  0.29713882 -0.26468458],[-0.23980657  0.18621125  0.28629148],[-0.04405619  0.27784531 -0.63200195],[-0.27351975  0.31427291  0.01620518],[-0.13574071  0.41320258  0.37812082],[-0.26141085  0.35049868  0.50776225]
test00None (37).jpg.Extracted.png,[ 0.06092432 -0.05290466 -0.27169397],[0.04799263 0.06859312 0.17910552],[-0.10891695 -0.01692922  0.10083115],[-0.01028819  0.22904148  0.32025424],[-0.21625309  0.13432119  0.15316507],[-0.07348295  0.33738357  0.19493736],[-0.24372658  0.21593698  0.06439895],[-0.12466524  0.31080096  0.48734341],[-0.22421351  0.25323884  0.43512805]
test00None (38).jpg.Extracted.png,[ 0.04857761 -0.08560251 -0.36035608],[0.09056779 0.14221047 0.19804693],[-0.1391454  -0.06075948  0.18061156],[-0.00226304  0.44766197  0.2488071 ],[-0.43867582  0.14699644 -0.10476088],[-0.0993834   0.47601786 -0.12720964],[-0.2306822   0.06518942 -0.69404084],[-0.27041538  0.47892914  0.57992631],[-0.42871923  0.35326657  0.56870193]
test00None (39).jpg.Extracted.png,[ 0.02457279 -0.03126507 -0.13349624],[0.03878743 0.05676325 0.05541353],[-0.06336022 -0.02665767  0.08251848],[-0.02750365  0.16364519  0.00279842],[-0.14248684  0.03844245  0.0363794 ],[-0.10237642  0.14402683 -0.12313026],[-0.13757563  0.10232788 -0.10214215],[-0.04616889  0.15404781  0.55268696],[-0.10952481  0.11203116  0.5778727 ]
test00None (4).jpg.Extracted.png,[ 0.06550331 -0.06219266 -0.34629035],[0.06681891 0.10316634 0.14759917],[-0.13232221 -0.04406769  0.21804141],[ 0.15777834  0.38555216 -0.24086296],[-0.39806857  0.00289477 -0.17036649],[ 0.20144091  0.2154887  -1.01191818],[-0.30671169 -0.12707041 -0.91498553],[-0.16169322  0.37339121  0.61831285],[-0.31875578  0.27553387  0.64915506]
test00None (40).jpg.Extracted.png,[ 0.0732693  -0.04815979 -0.20388092],[0.06637239 0.08048923 0.14093781],[-0.13964168 -0.03514579  0.06970743],[ 0.03990173  0.30330819 -0.02698089],[-0.38650412  0.04161992 -0.11268488],[-0.00234458  0.28083712 -0.4174102 ],[-0.26239077  0.07865898 -0.38408087],[-0.15949277  0.28471841  0.63960575],[-0.2875401   0.19353452  0.62056042]
test00None (41).jpg.Extracted.png,[-0.04700296 -0.04543837 -0.09553638],[ 0.04374339  0.07138452 -0.12327275],[ 0.00325957 -0.02591405  0.22148102],[-0.11712993  0.23876637 -0.22044798],[-0.1784184   0.03303464  0.35753328],[-0.28387061  0.30495321 -0.24823554],[-0.33442183  0.07680651  0.29084313],[0.141661   0.29108102 0.51314361],[0.08566278 0.20087255 0.79101922]
test00None (42).jpg.Extracted.png,[ 0.00700324 -0.08879032 -0.17537569],[ 0.04771344  0.09430873 -0.08009284],[-0.05471668 -0.0057047   0.26478479],[-0.01788321  0.29078888 -0.10828787],[-0.16971966  0.12597666  0.40946349],[-0.12037946  0.40522625 -0.18442777],[-0.25793022  0.21943638  0.20642375],[-0.14804908  0.35567722  0.36377955],[-0.21499722  0.29166216  0.59727526]
test00None (43).jpg.Extracted.png,[ 0.05240172  0.00919271 -0.24662395],[0.01624847 0.06813108 0.21071711],[-0.07978307 -0.09021248  0.03323113],[-0.10226791  0.21561945  0.01246167],[-0.23266093  0.00546242 -0.27831073],[-0.01604427  0.11335154 -0.37800413],[-0.04357867  0.06196034 -0.535852  ],[-0.19275987  0.11502838  0.79339328],[-0.24443689  0.01982985  0.72277712]
test00None (44).jpg.Extracted.png,[ 0.0131953  -0.04207322 -0.2691636 ],[0.06977951 0.04222688 0.15344841],[-0.08297481 -0.00016432  0.12375326],[0.10929634 0.14512235 0.36659393],[-0.18778076  0.08366382  0.26267754],[0.05765663 0.24374031 0.33628498],[-0.17012672  0.19081126  0.19339995],[-0.04846595  0.27504812  0.50947896],[-0.14186043  0.23812011  0.50081926]
test00None (45).jpg.Extracted.png,[ 0.08235443  0.04309622 -0.07979273],[ 0.0023535  -0.0233166   0.41792383],[-0.10797267 -0.02516439 -0.42811776],[0.11435319 0.05136721 0.82785203],[-0.26865096  0.15936296 -0.54165175],[0.18714648 0.0451713  0.92719427],[-0.30025356  0.31630293 -0.29329615],[-0.37013927  0.31602602  0.61497579],[-0.45944345  0.30702637  0.00473058]
test00None (46).jpg.Extracted.png,[ 0.04158523 -0.10034434 -0.3430775 ],[0.07397266 0.09222426 0.14970655],[-0.11555789  0.00903858  0.21458062],[0.10534023 0.2975104  0.05853532],[-0.27732728  0.17273356  0.17560595],[ 0.2351356   0.39845328 -0.51218401],[-0.41711069  0.22942504 -0.35121189],[-0.0788417   0.52425998  0.10975372],[-0.22576876  0.47928932  0.18292286]
test00None (47).jpg.Extracted.png,[ 0.01002639 -0.10714794 -0.34233509],[0.1162379  0.07125826 0.19018616],[-0.12626429  0.03993789  0.1676945 ],[0.1574227  0.31737205 0.37334   ],[-0.26799121  0.23947537  0.30784176],[0.08920289 0.5103994  0.0523986 ],[-0.27354514  0.45264988 -0.00654982],[-0.01007358  0.53598714  0.44538807],[-0.18573073  0.5116887   0.44538807]
test00None (48).jpg.Extracted.png,[ 0.02729812 -0.06444455 -0.21641526],[0.05187173 0.05911348 0.13017459],[-0.07916984  0.00569657  0.09192872],[0.03306344 0.18444875 0.21381385],[-0.16789587  0.10558487  0.08444749],[0.00345774 0.28936291 0.04671563],[-0.19372149  0.12349871 -0.12038259],[-0.07245631  0.26101723  0.34318022],[-0.13141375  0.2344102   0.33239969]
test00None (49).jpg.Extracted.png,[-0.00144465 -0.05217393 -0.16692786],[0.06552547 0.04332956 0.04694846],[-0.06408082  0.00932904  0.12597156],[0.08333865 0.14386947 0.04535354],[-0.13542265  0.08360861  0.13039144],[ 0.01877269  0.17985548 -0.09070709],[-0.1040188   0.13280832 -0.08503789],[-0.02395871  0.24697894  0.18708336],[-0.0964742   0.21422175  0.23243691]
test00None (5).jpg.Extracted.png,[ 0.0322819  -0.09551903 -0.38418418],[0.07606145 0.08442547 0.21556035],[-0.10834335  0.01204868  0.18244643],[0.0372908  0.28268895 0.48656965],[-0.21305614  0.19808095  0.41735931],[-0.0348164   0.39779004  0.28523048],[-0.22958589  0.34524809  0.27893864],[-0.0727603   0.43145663  0.5054452 ],[-0.2158157  0.3831092  0.4928615]
test00None (50).jpg.Extracted.png,[-0.02414325 -0.06925781 -0.15071855],[ 0.0756561   0.07300116 -0.03414717],[-0.05151285 -0.0038656   0.19117852],[ 0.00913337  0.26100002 -0.08621869],[-0.16864027  0.09855502  0.08065619],[-0.14362966  0.19268222 -0.09039056],[-0.17370161  0.08159435 -0.24474982],[-0.0070285   0.29968658  0.51453087],[-0.07756364  0.22838018  0.66889014]
test00None (51).jpg.Extracted.png,[ 0.03416867 -0.06278462 -0.17538833],[0.05913152 0.08273055 0.05011095],[-0.09330019 -0.02103708  0.13349725],[-0.01920535  0.25530308 -0.02927189],[-0.21273834  0.10649721  0.0926943 ],[-0.19270788  0.26406641 -0.19026725],[-0.25644118  0.21899787 -0.11708754],[-0.07195603  0.25385201  0.58543771],[-0.15958932  0.19188276  0.65373877]
test00None (52).jpg.Extracted.png,[ 0.00404686 -0.07100457 -0.16513819],[0.06134283 0.07520996 0.02648443],[-0.06538969 -0.0044076   0.14564269],[-0.01922622  0.21574139 -0.03334029],[-0.21437133  0.08103126  0.09826611],[-0.13413548  0.18100953 -0.10703987],[-0.17594812  0.14859573 -0.14388965],[-0.07453811  0.27426739  0.36674314],[-0.1503716   0.22674727  0.44044272]
test00None (53).jpg.Extracted.png,[-0.0057825  -0.02507379 -0.16722993],[0.06596271 0.03056494 0.07389229],[-0.06018022 -0.00571555  0.09737143],[0.08200576 0.15598347 0.02161064],[-0.11882407  0.0641997   0.07347619],[-0.01217308  0.21368015 -0.09508683],[-0.0937018   0.14600278 -0.04754342],[0.01888125 0.12741319 0.6007759 ],[-0.05031621  0.11029921  0.6007759 ]
test00None (54).jpg.Extracted.png,[ 0.05983847 -0.08865858 -0.17140703],[0.07788045 0.11179921 0.07740963],[-0.13771892 -0.02584275  0.10668656],[ 0.06236013  0.33170865 -0.12190751],[-0.34147708  0.09409261 -0.02566474],[ 0.04322851  0.47111996 -0.59670517],[-0.48570009  0.15521143 -0.42988437],[-0.17369467  0.41861357  0.14757225],[-0.32257581  0.31786222  0.16040462]
test00None (55).jpg.Extracted.png,[ 0.03644796 -0.06575375 -0.15825029],[0.05913263 0.09160919 0.02041939],[-0.09558059 -0.02779513  0.15068862],[0.16008753 0.23794776 0.13404205],[-0.22691036 -0.05318478  0.29139576],[0.1637981  0.36729526 0.12238622],[-0.31095849 -0.05392472  0.25642826],[-0.12190461  0.32113625  0.18066537],[-0.23123029  0.25389993  0.23894452]
test00None (56).jpg.Extracted.png,[ 0.04992715 -0.06855405 -0.14308226],[0.03197656 0.07758931 0.0370954 ],[-0.08190371 -0.00961338  0.11347921],[-0.01452205  0.20705932  0.08100961],[-0.19744101  0.04610898  0.0173592 ],[-0.05266427  0.1998565   0.11572802],[-0.21495696  0.06913618 -0.16780563],[-0.12103652  0.21327994  0.06943681],[-0.17740407  0.16313302  0.16201922]
