path,index0,index1,index2,index3,index4,index5,index6,index7,index8,index9
test00None (36).jpg.Extracted.png,[ 0.5972973  -0.88378378],[0.30810811 0.95135135],[-0.90540541 -0.06756757],[-0.49459459  2.36756757],[-1.82972973  1.07837838],[-0.13513514  1.81081081],[-2.33783784  2.02702703],[-1.37567568  2.95405405],[-2.26756757  2.30540541],[0. 0.]
test00None (37).jpg.Extracted.png,[-0.14465291 -0.71350844],[ 0.82908068 -0.01557223],[-0.68442777  0.72908068],[1.53489681 1.20131332],[-0.11313321  2.04896811],[1.769606   1.95046904],[0.48855535 2.81838649],[1.59849906 2.38273921],[0.7424015  2.88761726],[0. 0.]
test00None (38).jpg.Extracted.png,[ 0.04164152 -0.6053108 ],[0.82558841 0.56427278],[-0.86722993  0.04103802],[0.77217864 1.88412794],[-1.61044056  1.47495474],[0.28334339 2.14212432],[-0.77036814  0.69824985],[-0.2996379   2.61647556],[-1.28771877  2.28379602],[0. 0.]
test00None (39).jpg.Extracted.png,[ 0.35736275 -0.51334017],[0.44125192 0.89738327],[-0.79861467 -0.3840431 ],[-0.56541816  1.9687019 ],[-1.67367881  0.20318112],[-1.53822473  1.98563366],[-1.7791175   1.09979477],[-0.90174448  1.87249872],[-1.5343766   1.25218061],[0. 0.]
test00None (4).jpg.Extracted.png,[ 0.06694124 -0.62942495],[0.80532819 0.14039935],[-0.87226943  0.4890256 ],[1.87810854 0.73332986],[-1.45519003  1.51441531],[ 1.47599187 -0.034774  ],[-1.60674626  0.59131432],[0.81408686 1.97393254],[-0.13450811  2.19931182],[0. 0.]
test00None (40).jpg.Extracted.png,[ 0.11340815 -0.56645009],[ 0.6733609 -0.0507974],[-0.78676905  0.61724749],[1.46455995 0.73951565],[-1.17173656  1.95023627],[1.2714117  0.96987596],[-0.58210278  1.4465446 ],[0.59273479 1.53160071],[-0.10454814  1.88157118],[0. 0.]
test00None (41).jpg.Extracted.png,[-0.73094688 -0.16050808],[0.94226328 0.33487298],[-0.2113164 -0.1743649],[0.70496536 2.31120092],[-0.89030023  1.36374134],[6.33812158e-16 4.00000000e+00],[-1.74422633  2.7165127 ],[2.84064665 1.02424942],[1.85161663 1.06062356],[0. 0.]
test00None (42).jpg.Extracted.png,[ 0.01341863 -0.79903261],[0.61772507 0.78639413],[-0.6311437   0.01263848],[0.16648463 2.40037447],[-1.13715088  1.2249961 ],[-0.66203776  3.24762053],[-1.72975503  2.18692464],[-0.73131534  3.04727727],[-1.45732564  2.56935559],[0. 0.]
test00None (43).jpg.Extracted.png,[ 0.03048714 -0.61907345],[ 0.68829337 -0.07616361],[-0.71878051  0.69523706],[1.81837908 1.05099273],[0.0112835 1.9167842],[2.01627428 1.20690029],[0.34816101 0.49962027],[0.83411088 1.61766301],[0.22642942 2.03200608],[0. 0.]
test00None (44).jpg.Extracted.png,[-0.1245283  -0.53584906],[0.97358491 0.00754717],[-0.8490566   0.52830189],[1.63584906 0.6754717 ],[-1.08113208  1.66603774],[1.7490566  1.67169811],[-0.38490566  2.45283019],[0.93396226 2.41886792],[-0.14150943  2.55471698],[0. 0.]
test00None (45).jpg.Extracted.png,[ 1.20633524 -0.16278047],[-0.26264848 -0.16805983],[-0.94368676  0.3308403 ],[ 1.50593929 -0.27760669],[-2.27936648  2.98372195],[ 1.44258689 -0.64980202],[-0.16630004  3.77298724],[-1.33304004  4.41838979],[-1.69467664  4.54377475],[0. 0.]
test00None (46).jpg.Extracted.png,[-0.23150844 -0.8907979 ],[0.86750146 0.11910309],[-0.63599301  0.77169482],[2.03727432 1.03902155],[-0.60454281  2.39836925],[3.29615609 1.0678509 ],[-1.0832848   3.30343623],[2.10454281 3.10163075],[1.08590565 3.58211998],[0. 0.]
test00None (47).jpg.Extracted.png,[ 0.20551228 -0.78729778],[0.73037747 0.68304374],[-0.93588975  0.10425404],[0.58657879 2.04733373],[-1.72857999  1.21240264],[-0.03624925  3.02516477],[-1.92810066  2.317855  ],[-0.54134212  2.90473337],[-1.5587178   2.58208508],[0. 0.]
test00None (48).jpg.Extracted.png,[ 0.20352626 -0.8282867 ],[0.69336911 0.7205826 ],[-0.89689536  0.1077041 ],[0.5116903  2.04752779],[-1.65810655  0.9965504 ],[0.31391338 3.11230356],[-2.1582982   1.42200077],[-0.64277501  2.96052127],[-1.48447681  2.53852051],[0. 0.]
test00None (49).jpg.Extracted.png,[-0.33319167 -0.71525712],[0.95835104 0.28559286],[-0.62515937  0.42966426],[1.49766256 1.30174246],[-1.01274968  1.37314067],[0.84870378 1.89460263],[-0.73353166  1.60135997],[0.8640034  2.64683383],[-0.1240969   2.56523587],[0. 0.]
test00None (5).jpg.Extracted.png,[ 0.51261282 -0.7553807 ],[0.40013886 0.91645452],[-0.91275168 -0.16107383],[-0.27192779  2.27655635],[-1.94168017  0.91090025],[-0.92316593  3.10483684],[-2.4651701   1.87734321],[-1.29183059  2.91807452],[-2.24647072  2.29321916],[0. 0.]
test00None (50).jpg.Extracted.png,[-0.2841074  -0.58091437],[0.81422351 0.58055152],[-5.30116110e-01  3.62844702e-04],[0.49746009 2.03918723],[-1.13751814  1.33599419],[-0.60195936  1.537373  ],[-0.95029028  1.12590711],[0.27975327 1.96952104],[-0.5203193   1.56349782],[0. 0.]
test00None (51).jpg.Extracted.png,[ 0.14929006 -0.71440162],[0.82109533 0.57079108],[-0.9703854   0.14361055],[0.47302231 2.25273834],[-1.53995943  1.53225152],[-1.19675456  2.5801217 ],[-1.668357    2.65618661],[-0.07768763  2.43833671],[-0.97221095  2.29229209],[0. 0.]
test00None (52).jpg.Extracted.png,[-0.21572935 -0.69727592],[0.91388401 0.4059754 ],[-0.69815466  0.29130053],[0.0254833  1.80843585],[-1.31107206  1.25219684],[-1.26098418  1.44463972],[-0.88796134  1.61467487],[0.33128295 2.50966608],[-0.53866432  2.32513181],[0. 0.]
test00None (53).jpg.Extracted.png,[-0.28967254 -0.24937028],[ 0.99949622 -0.03173804],[-0.70982368  0.28110831],[1.7324937  1.14710327],[-0.54735516  1.51662469],[1.08261965 2.20503778],[0.27254408 2.17027708],[0.82871537 1.20906801],[0.02166247 1.36473552],[0. 0.]
test00None (54).jpg.Extracted.png,[-0.263047   -0.73111831],[0.9904376  0.04489465],[-0.7273906   0.68622366],[1.84667747 0.8554295 ],[-0.71620746  1.95575365],[2.43403566 1.40291734],[-0.90972447  2.81345219],[1.389141   2.39335494],[0.35980551 2.80226904],[0. 0.]
test00None (55).jpg.Extracted.png,[ 0.14708786 -0.6189536 ],[0.77255676 0.63494571],[-0.91964462 -0.0159921 ],[1.71016782 1.64244817],[-2.06811451  0.06515301],[1.64383021 2.82764067],[-2.51056269  0.17532083],[-0.28114511  2.45153011],[-1.24777887  2.15004936],[0. 0.]
test00None (56).jpg.Extracted.png,[ 0.40753981 -0.84497888],[0.56061098 0.8280793 ],[-0.9681508   0.01689958],[0.33441664 2.17744556],[-1.95287618  0.71888203],[0.41241469 2.95352616],[-2.28826779  1.58173546],[-0.68345791  2.24959376],[-1.56581085  1.720182  ],[0. 0.]
test00None (57).jpg.Extracted.png,[ 0.07850754 -0.67214744],[0.87370133 0.36669979],[-0.95220887  0.30544765],[1.63474569 1.83946156],[-1.20710995  1.93716686],[1.05190171 1.1143283 ],[-0.94163881  3.24256934],[0.62706658 2.83386033],[-0.64974252  2.89077604],[0. 0.]
test00None (58).jpg.Extracted.png,[ 0.2271191  -0.76301203],[0.68744085 0.72624037],[-0.91455996  0.03677166],[-0.07503042  2.14492362],[-1.50750304  1.41449236],[-0.78193862  3.16979857],[-1.91226173  2.53143166],[-0.62173854  3.23874544],[-1.733811    2.64620792],[0. 0.]
test00None (59).jpg.Extracted.png,[-0.09120679 -0.53596119],[ 0.92722862 -0.01273499],[-0.83602183  0.54869618],[1.34966646 1.51619163],[-0.37865373  1.9637356 ],[0.87374166 2.69290479],[0.47786537 2.98362644],[1.20667071 2.07616737],[0.22862341 2.2650091 ],[0. 0.]
test00None (6).jpg.Extracted.png,[-0.75 -1.25],[0.75 0.25],[-1.96975236e-15  1.00000000e+00],[2.72727273 2.09090909],[2.72727273 2.5       ],[4.43181818 3.25      ],[5.18181818 3.04545455],[4.09090909 4.13636364],[4.09090909 4.27272727],[0. 0.]
test00None (60).jpg.Extracted.png,[ 0.24143739 -0.47164514],[0.58472768 0.81122965],[-0.82616508 -0.3395845 ],[-0.29421673  2.03986524],[-1.69129702  0.93183605],[-1.55014037  2.5398091 ],[-1.9587872   2.15204941],[-0.95047726  2.27535093],[-1.71184728  1.5998877 ],[0. 0.]
test00None (61).jpg.Extracted.png,[-0.20877884 -0.69639842],[ 0.92065279 -0.00590884],[-0.71187394  0.70230726],[1.31992122 1.06105796],[-0.27039955  2.0596511 ],[1.66516601 1.99634215],[0.26055149 3.07259426],[1.47692741 2.38126055],[0.64800225 2.79825549],[0. 0.]
test00None (62).jpg.Extracted.png,[-0.11428993 -0.7184781 ],[0.65904734 0.75210146],[-0.54475741 -0.03362336],[0.04542103 2.1939242 ],[-1.22209114  1.01931868],[-0.86108244  3.22297596],[-1.77599174  1.88821708],[-0.91903849  2.55670255],[-1.52248931  2.12313818],[0. 0.]
test00None (63).jpg.Extracted.png,[ 0.06674704 -0.85960105],[0.56455502 0.08406401],[-0.63130206  0.77553705],[1.30962297 1.08231039],[-0.06970627  2.00854888],[1.81992547 1.89708461],[0.7289566  2.80918457],[1.70221394 2.32189829],[1.00778167 2.77498904],[0. 0.]
test00None (64).jpg.Extracted.png,[ 0.27015058 -0.61470328],[0.29140833 0.95659876],[-0.5615589  -0.34189548],[0.36935341 2.0513729 ],[-1.33480957 -0.24800709],[-0.57130204  2.02125775],[-1.47918512  0.49689991],[-1.46944198  2.13374668],[-1.9193977   1.54118689],[0. 0.]
test00None (65).jpg.Extracted.png,[-0.08121419 -0.52769123],[0.62830435 0.77796763],[-0.54709016 -0.25027641],[-0.12976179  2.01578048],[-1.73484772  0.28223942],[-1.4390391   2.52357021],[-2.537843    1.26525279],[-0.82450498  2.28384762],[-1.50778973  1.69072269],[0. 0.]
test00None (66).jpg.Extracted.png,[-0.27820975 -0.6300019 ],[ 0.98084582 -0.08154751],[-0.70263607  0.7115494 ],[1.87179973 0.97894936],[-0.42783994  2.11909729],[2.34970605 2.1225109 ],[-0.04210127  3.25640053],[1.68291295 2.66982742],[0.74587521 3.1062014 ],[0. 0.]
test00None (67).jpg.Extracted.png,[ 0.17955997 -0.83889283],[0.7271824  0.68644429],[-0.90674237  0.15244855],[0.57047551 1.85493258],[-1.482044    1.11611072],[-0.11937544  2.0422995 ],[-1.38793471  1.65351313],[-0.52221434  2.95911994],[-1.46543648  2.62271114],[0. 0.]
test00None (68).jpg.Extracted.png,[ 0.11773585 -0.80792453],[0.74490566 0.66716981],[-0.86264151  0.14075472],[0.45735849 1.88075472],[-1.44  1.42],[-0.41433962  2.42981132],[-1.83735849  2.45924528],[-0.58754717  3.11358491],[-1.54981132  2.74566038],[0. 0.]
test00None (69).jpg.Extracted.png,[-0.25482895 -0.52269025],[0.68140563 0.73190598],[-0.42657668 -0.20921573],[-0.30230393  1.85664417],[-1.26437049  0.66139167],[-1.58098673  1.79415872],[-2.04002793  1.06492902],[-0.23528043  2.02699558],[-0.74214568  1.48871306],[0. 0.]
test00None (7).jpg.Extracted.png,[ 0.54466997 -0.2427681 ],[0.45021576 0.14176123],[-0.99488573  0.10100687],[0.6971392  1.26849928],[-1.07159981  1.58590379],[1.13297107 1.62617868],[0.14623622 1.63816525],[-0.0920569  2.1818763],[-0.87789676  2.41153908],[0. 0.]
test00None (70).jpg.Extracted.png,[0.84324324 0.34054054],[-0.53513514  0.61081081],[-0.30810811 -0.95135135],[-1.90810811  0.24864865],[-1.2972973  -1.21621622],[-3.14594595  0.07567568],[-1.71891892 -0.88648649],[-3.60540541 -0.16756757],[-3.68108108 -1.31351351],[0. 0.]
test00None (71).jpg.Extracted.png,[ 0.29032749 -0.68134044],[0.66824067 0.74394516],[-0.95856816 -0.06260472],[0.50464585 2.29261234],[-1.94105103  0.95872049],[-0.19771516  1.77669459],[-1.49413557  1.32018279],[-0.23198781  2.1262757 ],[-1.19390708  1.73785225],[0. 0.]
test00None (72).jpg.Extracted.png,[ 0.56064 -0.76352],[-0.07584  0.99712],[-0.4848 -0.2336],[-2.23104  1.75072],[-2.23776 -0.07232],[-3.93312  1.57216],[-4.05504 -0.21728],[-1.45728  3.37504],[-1.5408  2.5744],[0. 0.]
test00None (73).jpg.Extracted.png,[-0.23137461 -0.76757608],[0.87670514 0.00367261],[-0.64533054  0.76390346],[1.69674711 0.96222455],[-0.09916055  2.17103882],[1.80377754 1.76967471],[0.45645331 3.25236097],[1.57082896 2.30640084],[0.7980063  2.71878279],[0. 0.]
test00None (74).jpg.Extracted.png,[-0.13128442 -0.42316575],[ 0.99857879 -0.05329543],[-0.86729437  0.47646118],[2.06128975 0.79836561],[-1.80529401  1.30147451],[1.53632972 0.61236454],[-2.02806893  1.94741517],[0.60365962 1.63723574],[-0.19150826  1.81844022],[0. 0.]
test00None (75).jpg.Extracted.png,[-0.11661721 -0.35934718],[0.99525223 0.09732938],[-0.87863501  0.2620178 ],[1.5462908  1.55103858],[-1.37002967  1.33560831],[0.87863501 1.7379822 ],[-1.64154303  1.65163205],[0.49940653 2.01216617],[-0.41305638  1.96765579],[0. 0.]
test00None (76).jpg.Extracted.png,[-0.28214971 -0.69481766],[ 0.81765835 -0.14971209],[-0.53550864  0.84452975],[1.43761996 1.15930902],[0.22840691 2.3243762 ],[ 0.62571977 -0.04414587],[1.52015355 2.76391555],[1.96545106 2.11900192],[1.06525912 2.66410749],[0. 0.]
test00None (77).jpg.Extracted.png,[ 0.03449319 -0.45627837],[0.89773071 0.44054463],[-0.9322239   0.01573374],[1.13464448 1.72768533],[-1.80998487  1.25839637],[0.8913767  2.31406959],[-1.51316188  1.59515885],[-0.05900151  2.25416036],[-1.0366112   2.08078669],[0. 0.]
test00None (78).jpg.Extracted.png,[-0.24657534 -0.65753425],[1.00000000e+00 5.19767106e-17],[-0.75342466  0.65753425],[2.40410959 0.9109589 ],[-1.08219178  2.28082192],[3.76712329 1.71232877],[-1.50684932  3.81506849],[1.5890411  2.40410959],[0.43835616 2.83561644],[0. 0.]
test00None (79).jpg.Extracted.png,[-0.18055298 -0.76990165],[0.84653925 0.02393765],[-0.66598627  0.745964  ],[1.55075153 1.09667842],[-0.34254964  2.16830581],[2.02226758 2.04973093],[0.4813509  3.00835034],[1.81629245 2.5897198 ],[0.92113565 2.99053628],[0. 0.]
